순번,ID,제품군,세부 유형,브랜드,정확한 제품명,현재 판정,완제품 제조국,국내 판매 상태,대상 월령,월령 근거,KC 대상 여부,KC 인증번호,확인 플랫폼,확인일,판정·검증 사유,출처 URL,데이터 품질,누적 이력,대시보드 그룹,적용 안전제도,규제 기준 메모,사용자 판정명,재검증 상태,KC 인증상태,KC 인증일자,KC 인증변경일자,KC 인증변경사유,KC 인증구분,KC 인증기관,Safety Korea 상세 URL,KC 품목명,KC 모델명,KC 제조사,KC 수입업체,연관 인증번호,duplicateOf,canonicalProductId
219,MASTER-0023,위생·기저귀,물티슈,델리프,엠보싱 넘버5 베이지 아기물티슈,보류,미확인 ❓,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,위생용품관리법 관리 대상,KC 번호 대신 위생용품 법정관리 정보 확인,과거 누적 Master DB,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://prod.danawa.com/info/?pcode=92080685,"https://prod.danawa.com/info/?pcode=92080685
https://sosircurr.com/%EC%9C%A1%EC%95%84-%ED%95%84%EC%88%98%ED%85%9C-%EB%AC%BC%ED%8B%B0%EC%8A%88-%EB%93%9D%ED%85%9C-%EC%B0%AC%EC%8A%A4-%EB%9E%84%EB%9E%84%EB%9D%BC-%EB%AC%BC%ED%8B%B0%EC%8A%88-100%EA%B0%9C%EC%9E%85-10/
https://prod.danawa.com/info/?pcode=92047097",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,물티슈,위생용품관리법 · 일회용 기저귀 기준·규격 및 품목제조보고 확인,2018년 4월 19일부터 어린이제품 KC 대상에서 삭제되어 위생용품 기준·규격과 품목제조보고로 관리,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,할인율,델리프,,,,MASTER-0023
220,MASTER-0024,위생·기저귀,물티슈,리벤스,시그니처 도톰한 아기물티슈,보류,미확인 ❓,구매 기능 확인 불가,확인 중,과거 누적 공식 월령 재검증 필요,위생용품관리법 관리 대상,KC 번호 대신 위생용품 법정관리 정보 확인,과거 누적 Master DB,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://nid.naver.com/nidlogin.login?url=https%3A%2F%2Fsearch.shopping.naver.com%2Fcatalog%2F59589058474,"https://nid.naver.com/nidlogin.login?url=https%3A%2F%2Fsearch.shopping.naver.com%2Fcatalog%2F59589058474
https://search.shopping.naver.com/catalog/59589058474
https://have-a-good.com/%EB%A6%AC%EB%B2%A4%EC%8A%A4-%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98-%EB%B8%94%EB%9E%99%EB%9D%BC%EB%B2%A8-%EC%95%84%EA%B8%B0%EB%AC%BC%ED%8B%B0%EC%8A%88%EC%B2%AD%EC%86%8C%EB%B6%80%ED%84%B0-%EA%B0%95/",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,물티슈,위생용품관리법 · 일회용 기저귀 기준·규격 및 품목제조보고 확인,2018년 4월 19일부터 어린이제품 KC 대상에서 삭제되어 위생용품 기준·규격과 품목제조보고로 관리,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,리벤스 시그니처 블랙라벨 아기 물티슈,,,,,MASTER-0024
221,MASTER-0025,위생·기저귀,물티슈,베베숲,시그니처 레드 유아물티슈,보류,미확인 ❓,구매 기능 확인 불가,확인 중,과거 누적 공식 월령 재검증 필요,위생용품관리법 관리 대상,KC 번호 대신 위생용품 법정관리 정보 확인,과거 누적 Master DB,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://funiz.com/goods/14883853,"https://funiz.com/goods/14883853
https://buyaimall.com/%EB%B2%A0%EB%B2%A0%EC%88%B2-%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98-%EB%A0%88%EB%93%9C-%EC%B6%94%EC%B2%9C-%EB%B2%A0%EB%B2%A0%EC%88%B2-%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98-%EB%A0%88%EB%93%9C-%EC%9C%A0-3/
https://starrmart.co.kr/%EB%B2%A0%EB%B2%A0%EC%88%B2%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98%EB%AC%BC%ED%8B%B0%EC%8A%88-202503091507/
https://asda.co.kr/21165
https://geniealert.co.kr/goods/detail/7455919074?itemId=18854921300&vendorItemId=85984112985
https://fallcent.com/product/rw3bjxOfV46JFBUny0b8kZAD9vGEqltK/
https://buyaimall.com/%EB%B2%A0%EB%B2%A0%EC%88%B2-%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98-%EB%A0%88%EB%93%9C-%EC%B6%94%EC%B2%9C-%EB%B2%A0%EB%B2%A0%EC%88%B2-%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98-%EB%A0%88%EB%93%9C-%EC%9C%A0/
https://newsmeta.kr/5725/
https://insight7605.tistory.com/266
https://seu.co.kr/bebesup-signature-wipes-recommendation/
https://adorable-1225.tistory.com/272
https://di-myself02.tistory.com/entry/%EB%B2%A0%EB%B2%A0%EC%88%B2-%EB%AC%BC%ED%8B%B0%EC%8A%88-%EB%9D%BC%EC%9D%B8-%EB%B9%84%EA%B5%90",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,물티슈,위생용품관리법 · 일회용 기저귀 기준·규격 및 품목제조보고 확인,2018년 4월 19일부터 어린이제품 KC 대상에서 삭제되어 위생용품 기준·규격과 품목제조보고로 관리,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,MASTER-0025
222,MASTER-0026,위생·기저귀,물티슈,베베숲,시그니처 블루 에코 캡형 70매,보류,대한민국 🇰🇷,현재 구매 가능,3~12개월,공식 판매 페이지: 3~12개월,어린이제품 KC 비대상 · 화장품,,과거 누적 Master DB,2026-09-02,"2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했다. 이 제품군에는 어린이제품 KC 번호를 일괄 적용하지 않고, 해당 법령의 제조국·제조사/수입사·안전제도 공식 근거를 추가 확인할 때까지 보류한다. https://www.bebesup.co.kr/goods/view?no=362","https://www.bebesup.co.kr/goods/view?no=362
https://gmautoworld.co.kr/picks/26722/
https://newsmeta.kr/6100/
https://www.bebesup.co.kr/goods/catalog?page=3&code=00080004&popup=&iframe=
https://buyaimall.com/%EB%B2%A0%EB%B2%A0%EC%88%B2-%EC%97%90%EC%BD%94-%EB%B8%94%EB%A3%A8-%EC%B6%94%EC%B2%9C-%EB%B2%A0%EB%B2%A0%EC%88%B2-%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98-%EB%B8%94%EB%A3%A8-%EC%97%90%EC%BD%94-%EC%9C%A0/
https://a.artechnic.co.kr/5771
https://dinosion.co.kr/%EB%B2%A0%EB%B2%A0%EC%88%B2-%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98-%EB%B8%94%EB%A3%A8-%EC%97%90%EC%BD%94-%EC%9C%A0%EC%95%84%EB%AC%BC%ED%8B%B0%EC%8A%88-%EC%BA%A1%ED%98%95-75gsm-70%EB%A7%A4-200%ED%8C%A9/
https://proreviewer.co.kr/%EB%B2%A0%EB%B2%A0%EC%88%B2-%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98-%EB%B8%94%EB%A3%A8-%EC%97%90%EC%BD%94-%EC%9C%A0%EC%95%84%EB%AC%BC%ED%8B%B0%EC%8A%88-%EC%BA%A1%ED%98%95/
https://prod.danawa.com/info/?pcode=17340557
https://rpp.auction.co.kr/?exhib=270584",공식 동일 제품·제조사·제조국·현재 판매 확인 · 숫자 월령 미확인,2026-08-04 원본 압축 DB 복원 · 포함 판정 유지 | 2026-08-04 전 제품 KC 근거 정책 적용 · 포함 → 보류 · Safety Korea 동일 모델 재검증 시작 | 2026-08-15 Codex ING 우선 재검증 · 법 적용·국내 제조·현재 판매 정정 · 숫자 월령 부족,물티슈,화장품법 · 인체세정용 물휴지,2018년 4월 19일부터 어린이제품 KC 대상에서 삭제되어 위생용품 기준·규격과 품목제조보고로 관리,추가 확인 중,법령별 비KC 공식 근거 추가 확인 필요,KC 비대상,,,,,,,,,,,,,MASTER-0026
223,MASTER-0027,위생·기저귀,물티슈,베베숲,시그니처 위드 그린 캡형,보류,미확인 ❓,현재 구매 가능,3~12개월,공식 판매 페이지: 3~12개월,위생용품관리법 관리 대상,KC 번호 대신 위생용품 법정관리 정보 확인,과거 누적 Master DB,2026-09-02,"2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했다. 이 제품군에는 어린이제품 KC 번호를 일괄 적용하지 않고, 해당 법령의 제조국·제조사/수입사·안전제도 공식 근거를 추가 확인할 때까지 보류한다. https://www.bebesup.co.kr/goods/view?no=441","https://www.bebesup.co.kr/goods/view?no=441
https://www.bebesup.co.kr/goods/catalog?sort=low_price&code=000800040012&popup=&iframe=
https://www.bebesup.co.kr/goods/catalog?sort=popular_sales&code=000800040012&popup=&iframe=
https://www.bebesup.co.kr/goods/catalog?sort=high_price&code=000800040012&popup=&iframe=
https://www.bebesup.co.kr/goods/catalog?sort=review&code=000800040012&popup=&iframe=
https://www.bebesup.co.kr/goods/catalog?sort=newly&code=000800040012&popup=&iframe=
https://www.bebesup.co.kr/goods/catalog?page=1&code=000800040012&popup=&iframe=
https://www.bebesup.co.kr/goods/catalog?code=000800040012
https://www.bebesup.co.kr/goods/catalog?code=000800040016
https://www.bebesup.co.kr/goods/catalog?display_style=mobile_list&code=0008&popup=&iframe=&setMode=mobile
https://www.bebesup.co.kr/goods/catalog?display_style=mobile_list&sort=newly&code=000800040012&popup=&iframe=&setMode=mobile
https://m.bebesup.co.kr/goods/view?no=347
https://prod.danawa.com/info/?pcode=122688241
https://prod.danawa.com/info/?pcode=38537993
https://www.kurly.com/goods/1002148221",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,물티슈,위생용품관리법 · 일회용 기저귀 기준·규격 및 품목제조보고 확인,2018년 4월 19일부터 어린이제품 KC 대상에서 삭제되어 위생용품 기준·규격과 품목제조보고로 관리,추가 확인 중,법령별 비KC 공식 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,MASTER-0027
224,MASTER-0028,위생·기저귀,물티슈,베베숲,시그니처 위드 블루 캡형 70매,보류,대한민국 🇰🇷,현재 구매 가능,3~12개월,공식 판매 페이지: 3~12개월,어린이제품 KC 비대상 · 화장품,,과거 누적 Master DB,2026-09-02,"2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했다. 이 제품군에는 어린이제품 KC 번호를 일괄 적용하지 않고, 해당 법령의 제조국·제조사/수입사·안전제도 공식 근거를 추가 확인할 때까지 보류한다. https://www.bebesup.co.kr/goods/view?no=347","https://www.bebesup.co.kr/goods/view?no=347
https://www.bebesup.co.kr/goods/catalog?code=000800040012&iframe=&popup=&sort=newly
https://buyaimall.com/%EB%B2%A0%EB%B2%A0%EC%88%B2-%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98-%EC%9C%84%EB%93%9C-%EB%B8%94%EB%A3%A8-%EC%B6%94%EC%B2%9C-%EB%B2%A0%EB%B2%A0%EC%88%B2-%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98-%EB%B8%94/
https://pusandate.com/3188
https://newsmeta.kr/6100/
https://www.bebesup.co.kr/goods/view?no=348
https://bizmark.co.kr/household-goods/%EB%B2%A0%EB%B2%A0%EC%88%B2-%EB%AC%BC%ED%8B%B0%EC%8A%88-%EC%87%BC%ED%82%B9%ED%8A%B9%EA%B0%80/
https://socury.com/life/%EB%B2%A0%EB%B2%A0%EC%88%B2-%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98-%EB%B8%94%EB%A3%A8/
https://xirinet.com/%EB%B2%A0%EB%B2%A0%EC%88%B2%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98%EC%9C%84%EB%93%9C%EB%B8%94%EB%A3%A8-202405131719/
https://doridori.oopy.io/22dddde3-24c1-81f5-857d-f58cabd0a623
https://kr.pinterest.com/pin/727964727298858280/
https://prod.danawa.com/info/?pcode=15755225
https://www.kurly.com/goods/1002148240",공식 동일 제품·제조사·제조국·현재 판매 확인 · 숫자 월령 미확인,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-15 Codex ING 우선 재검증 · 법 적용·국내 제조·현재 판매 정정 · 숫자 월령 부족,물티슈,화장품법 · 인체세정용 물휴지,2018년 4월 19일부터 어린이제품 KC 대상에서 삭제되어 위생용품 기준·규격과 품목제조보고로 관리,추가 확인 중,법령별 비KC 공식 근거 추가 확인 필요,KC 비대상,,,,,,,,,,,,,MASTER-0028
225,MASTER-0029,위생·기저귀,물티슈,베베숲,아이캔 트레이닝 유아물티슈,보류,미확인 ❓,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,위생용품관리법 관리 대상,KC 번호 대신 위생용품 법정관리 정보 확인,과거 누적 Master DB,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://prod.danawa.com/info/?pcode=102015206,"https://prod.danawa.com/info/?pcode=102015206
https://fallcent.com/product/tXFO7Eqp8UkVQTx3DZny2cbAl916RGwJ/
https://bart.kr/%EB%B2%A0%EB%B2%A0%EC%88%B2%EB%B9%84%EB%8D%B0%EB%AC%BC%ED%8B%B0%EC%8A%88-202404020232/
https://younggangeng.co.kr/%EC%83%81%EC%9C%84-top-%EB%B2%A0%EB%B2%A0%EC%88%B2%EB%AC%BC%ED%8B%B0%EC%8A%88-%EC%82%AC%EC%9A%A9%ED%9B%84%EA%B8%B0/
https://xirinet.com/%EB%B2%A0%EB%B2%A0%EC%88%B2%EB%B9%84%EB%8D%B0%EB%AC%BC%ED%8B%B0%EC%8A%88-202405162235/
https://greatmart.kr/%EB%B2%A0%EB%B2%A0%EC%88%B2%EB%B9%84%EB%8D%B0%EB%AC%BC%ED%8B%B0%EC%8A%88-202409272250/
https://djehuty.net/357
https://pusandate.com/1789
https://xirinet.com/%EB%B2%A0%EB%B2%A0%EC%88%B2%EB%B9%84%EB%8D%B0%EB%AC%BC%ED%8B%B0%EC%8A%88-202404052338/",추가 확인 필요,2026-08-04 원본 압축 DB 복원 · 포함 판정 유지 | 2026-08-04 전 제품 KC 근거 정책 적용 · 포함 → 보류 · Safety Korea 동일 모델 재검증 시작,물티슈,위생용품관리법 · 일회용 기저귀 기준·규격 및 품목제조보고 확인,2018년 4월 19일부터 어린이제품 KC 대상에서 삭제되어 위생용품 기준·규격과 품목제조보고로 관리,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,MASTER-0029
226,MASTER-0030,위생·기저귀,물티슈,베베숲,오리진 유아물티슈,보류,미확인 ❓,구매 기능 확인 불가,확인 중,과거 누적 공식 월령 재검증 필요,위생용품관리법 관리 대상,KC 번호 대신 위생용품 법정관리 정보 확인,과거 누적 Master DB,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://ddcou.com/items/3838,"https://ddcou.com/items/3838
https://up.main.seoul.kr/%EC%B6%94%EC%B2%9C-%EB%B2%A0%EB%B2%A0%EC%88%B2%EB%AC%BC%ED%8B%B0%EC%8A%88-10%EC%A2%85-%EC%9D%B8%EA%B8%B0-%ED%95%84%EC%88%98-%EA%B5%AC%EB%A7%A4/
https://jc01rho.com/goldbox-product-7455919074/
https://www.lowchart.com/7455919074-24108242235
https://4050lifeinfo.com/%EB%B2%A0%EB%B2%A0%EC%88%B2-%EC%98%A4%EB%A6%AC%EC%A7%84-%EC%9C%A0%EC%95%84%EB%AC%BC%ED%8B%B0%EC%8A%88-%EC%BA%A1%ED%98%95-%EA%B5%AC%EB%A7%A4-%EC%A0%84-%EC%B2%B4%ED%81%AC%ED%95%A0-%EC%A0%90%EF%BD%9C/
https://multiversecontents.com/2026%EB%85%84-%EC%8B%A4%EC%82%AC%EC%9A%A9-%EB%B2%A0%EB%B2%A0%EC%88%B2%EB%AC%BC%ED%8B%B0%EC%8A%88-%EC%B6%94%EC%B2%9C-best-3/
https://blog.iinfo.kr/lifestyle/bebesup-origin-baby-wipes-review/
https://up.main.seoul.kr/%EC%B6%94%EC%B2%9C-%EB%B2%A0%EB%B2%A0%EC%88%B2%EB%AC%BC%ED%8B%B0%EC%8A%88-10%EC%A2%85-%ED%95%84%EC%88%98-%EA%B5%AC%EB%A7%A4-%EC%9D%B8%EA%B8%B0-%EC%A0%9C%ED%92%88/
https://shopping.everoneforu.com/%EB%B2%A0%EB%B2%A0%EC%88%B2%EB%AC%BC%ED%8B%B0%EC%8A%88-%EC%B6%94%EC%B2%9C-10%EC%84%A0/
https://tech.usefulinformationskk.co.kr/2026/01/blog-post.html
https://golf.ssan.kr/%EB%B2%A0%EB%B2%A0%EC%88%B2-%EC%98%A4%EB%A6%AC%EC%A7%84-%EC%9C%A0%EC%95%84%EB%AC%BC%ED%8B%B0%EC%8A%88-%EC%BA%A1%ED%98%95-50g-100%EB%A7%A4-10%EA%B0%9C-%EC%B6%94%EC%B2%9C-%EC%9D%B8%EA%B8%B0/",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,물티슈,위생용품관리법 · 일회용 기저귀 기준·규격 및 품목제조보고 확인,2018년 4월 19일부터 어린이제품 KC 대상에서 삭제되어 위생용품 기준·규격과 품목제조보고로 관리,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,베베숲 오리진 유아물티슈 캡형,,,,,MASTER-0030
227,MASTER-0031,위생·기저귀,물티슈,베베앙,120 유아물티슈,보류,대한민국,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,위생용품관리법 관리 대상,KC 번호 대신 위생용품 법정관리 정보 확인,과거 누적 Master DB,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://www.salefinder.co.kr/products/219,"https://www.salefinder.co.kr/products/219
https://angelrental.co.kr/24555/
https://gbse.co.kr/40447/
https://www.lowchart.com/8548508229-21436088373
https://kr.pinterest.com/pin/120--866872628254584792/
https://ourhertz.tistory.com/1361
https://tooshop.bytimes.kr/%EB%B2%A0%EB%B2%A0%EC%95%99-120-%EC%9C%A0%EC%95%84%EB%AC%BC%ED%8B%B0%EC%8A%88-%EC%BA%A1%ED%98%95-50g-120%EB%A7%A4-10%EA%B0%9C-%EC%B6%94%EC%B2%9C-%EC%88%9C%EC%9C%84-top-10-%EA%B0%80%EA%B2%A9/
https://itemrevew.com/2026/03/12/%EB%B2%A0%EB%B2%A0%EC%95%99-120-%EC%9C%A0%EC%95%84%EB%AC%BC%ED%8B%B0%EC%8A%88-%EC%8A%A4%ED%8E%99-%ED%8A%B9%EC%A7%95-%EB%B0%8F-%EC%8B%A4%EC%82%AC%EC%9A%A9-%EA%B0%80%EC%9D%B4%EB%93%9C/
https://coupangpartnersportal.tistory.com/12
https://clipbodu.tistory.com/entry/%EC%9C%A1%EC%95%84-%ED%95%84%EC%88%98%ED%85%9C-%EC%B6%94%EC%B2%9C-%EB%B2%A0%EB%B2%A0%EC%95%99-120-%EC%9C%A0%EC%95%84%EB%AC%BC%ED%8B%B0%EC%8A%88-%EC%BA%A1%ED%98%95-%EC%86%94%EC%A7%81-%ED%9B%84%EA%B8%B0",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,물티슈,위생용품관리법 · 일회용 기저귀 기준·규격 및 품목제조보고 확인,2018년 4월 19일부터 어린이제품 KC 대상에서 삭제되어 위생용품 기준·규격과 품목제조보고로 관리,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,베베앙 120 유아물티슈 캡형,,,,,MASTER-0031
228,MASTER-0032,위생·기저귀,물티슈,보솜이,펀앤플레이 아기물티슈 70매,보류,대한민국 🇰🇷,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,어린이제품 KC 비대상 · 화장품,,과거 누적 Master DB,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://store.hanssem.com/goods/1075992,"https://store.hanssem.com/goods/1075992
https://www.bosomimall.co.kr/goods/goods_view.php?goodsNo=1000000665
https://www.kleannaramall.com/goods/goods_view.php?goodsNo=1000000140
https://lottemartzetta.com/products/OS8801260610600/details
https://ddosajang.com/shop/shopdetail.html?branduid=10622843&xcode=002&mcode=007&scode=002&type=X&sort=viewcnt&cur_code=002&search=&GfDT=a2h3Uw==
https://nonow.kr/3008/",공식 동일 제품·제조사·제조국·현재 판매 확인 · 숫자 월령 미확인,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-15 Codex ING 우선 재검증 · 화장품법·국내 제조·현재 판매 정정 · 숫자 월령 부족,물티슈,화장품법 · 인체세정용 물휴지,2018년 4월 19일부터 어린이제품 KC 대상에서 삭제되어 위생용품 기준·규격과 품목제조보고로 관리,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,KC 비대상,,,,,,,,,,,,,MASTER-0032
229,MASTER-0033,위생·기저귀,물티슈,브라운,러브빌리프 골드 핑크 영유아물티슈,보류,미확인 ❓,현재 구매 불가,확인 중,과거 누적 공식 월령 재검증 필요,위생용품관리법 관리 대상,KC 번호 대신 위생용품 법정관리 정보 확인,과거 누적 Master DB,2026-09-02,2026-09-02 개별 판매 페이지에서 현재 구매 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://fallcent.com/product/QfgFkBKDpWlxL7jMe1C5TNHd4ROm2UZk/,"https://fallcent.com/product/QfgFkBKDpWlxL7jMe1C5TNHd4ROm2UZk/
https://www.review101.kr/review/3a746df5-4b1f-4874-9feb-20fcebefbbfb",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,물티슈,위생용품관리법 · 일회용 기저귀 기준·규격 및 품목제조보고 확인,2018년 4월 19일부터 어린이제품 KC 대상에서 삭제되어 위생용품 기준·규격과 품목제조보고로 관리,추가 확인 중,현재 구매 불가 · 공식 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,"브라운 러브 빌리프 골드 핑크 아기물티슈 캡형 70평량,70매,10팩",,,,,MASTER-0033
230,MASTER-0034,위생·기저귀,물티슈,브라운라이프,베이지 도톰한 아기물티슈,보류,미확인 ❓,현재 구매 불가,확인 중,과거 누적 공식 월령 재검증 필요,위생용품관리법 관리 대상,KC 번호 대신 위생용품 법정관리 정보 확인,과거 누적 Master DB,2026-09-02,2026-09-02 개별 판매 페이지에서 현재 구매 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://fallcent.com/product/TwiRrD0DuhHLzRlQwUv16gnmtb3B9jpG/,"https://fallcent.com/product/TwiRrD0DuhHLzRlQwUv16gnmtb3B9jpG/
https://kopkod.com/35202/
https://www.deobseog.com/coupang/847
https://4050lifeinfo.com/%EB%B8%8C%EB%9D%BC%EC%9A%B4%EB%9D%BC%EC%9D%B4%ED%94%84-%EB%B2%A0%EC%9D%B4%EC%A7%80-%EB%8F%84%ED%86%B0%ED%95%9C-%EC%95%84%EA%B8%B0-%EB%AC%BC%ED%8B%B0%EC%8A%88-%EB%8C%80%EC%9A%A9%EB%9F%89-%EC%97%A0/",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,물티슈,위생용품관리법 · 일회용 기저귀 기준·규격 및 품목제조보고 확인,2018년 4월 19일부터 어린이제품 KC 대상에서 삭제되어 위생용품 기준·규격과 품목제조보고로 관리,추가 확인 중,현재 구매 불가 · 공식 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,MASTER-0034
